timestep,reward
4,-0.335
309,-0.3
677,0.435
955,-0.12
1250,0.245
1553,-0.16
1833,0.325
2117,0.17
2381,-0.045
2714,0.12
3006,-0.365
3289,-0.295
3617,0.01
3902,-0.085
4183,-0.05
4492,-0.105
4766,-0.045
5093,0.525
5427,0.09
5727,-0.03
6057,-0.16
6397,-0.145
6739,0.305
7067,0.26
7365,0.075
7715,-0.58
8071,0.06
8344,-0.07
8647,0.05
8942,-0.1
9322,-0.21
9613,0.095
9931,0.07
10247,-0.06
10567,0.3
10857,0.0
11194,0.235
11524,-0.165
11877,0.275
12162,0.555
12467,0.15
12833,0.135
13154,-0.02
13488,-0.01
13803,-0.13
14133,-0.3
14459,-0.32
14764,-0.48
15050,0.1
15349,0.015
15658,0.015
15921,-0.05
16233,0.16
16508,-0.005
16801,0.485
17176,0.635
17630,1.72
18288,1.575
19090,2.05
20024,1.945
21039,1.81
22117,2.025
23182,2.61
24303,2.085
25465,2.885
26642,2.675
27843,2.765
29150,3.36
30511,2.685
31670,3.775
32950,3.06
34411,1.89
35587,2.305
36820,3.175
38450,2.57
39723,3.11
41170,2.755
42296,3.275
43683,2.03
45106,2.565
46373,3.655
47594,2.34
48675,2.16
50326,1.835
51554,2.555
53079,2.195
54753,3.2
56424,2.785
58106,1.86
59773,3.295
61438,2.195
63004,2.97
64682,2.99
66269,2.845
67930,3.28
69583,2.77
71124,2.23
72822,2.955
74580,2.545
76316,2.99
